"maxO3";"T6";"T9";"T12";"T15";"T18";"Ne6";"Ne9";"Ne12";"Ne15";"Ne18";"Vx6";"Vy6";"Vx9";"Vy9";"Vx12";"Vy12";"Vx15";"Vy15";"Vx18";"Vy18";"maxO3v"
"19950423";79.4;2.4;8.9;11.7;12.9;10.3;3;7;7;8;7;0;0;2;0;0.984807753012208;0.17364817766693;0.766044443118978;0.642787609686539;0.520944533000791;2.95442325903662;69.4
"19950424";71.6;6.9;10.4;10.8;9.5;9.1;7;8;8;8;8;0.520944533000791;2.95442325903662;1.21553724366851;6.89365427108546;-1.38918542133544;7.87846202409766;-2.39414100327969;6.57784834550136;-3;5.19615242270663;79.4
"19950425";77;8.3;9.2;10;10.2;9.7;8;8;8;8;8;-5.19615242270663;3;-4.59626665871387;3.85672565811924;-4.59626665871387;3.85672565811924;-6.06217782649107;3.5;-3.75877048314363;1.36808057330267;71.6
"19950426";57.8;10.1;11.5;11.5;13.2;11.8;9;8;8;8;8;-1.96961550602442;0.347296355333861;1.02606042997701;2.81907786235772;0.347296355333861;1.96961550602442;-0.694592710667721;3.93923101204883;-0.520944533000791;2.95442325903662;77
"19950427";60.8;9.2;9.8;10.7;11.2;11.2;8;8;8;8;8;1.02606042997701;2.81907786235772;2.81907786235773;1.02606042997701;2.95442325903662;0.520944533000791;3;0;2;0;57.8
"19950428";56.2;9.6;10.7;12.3;13.2;13.4;8;8;8;8;8;3.93923101204883;0.694592710667721;3.75877048314363;1.36808057330267;3;0;2.59807621135332;-1.5;0.766044443118978;-0.642787609686539;60.8
"19950429";75.6;10.2;11.8;13;14.4;15;8;8;8;7;7;-0.342020143325669;-0.939692620785908;-0.984807753012208;-0.173648177666931;-2.59807621135332;1.5;-1.87938524157182;0.684040286651337;1.02606042997701;2.81907786235772;56.2
"19950430";80.2;10.6;11.6;13.9;16.7;16.7;8;8;7;6;3;0;0;-1.53208888623796;1.28557521937308;-1.28557521937308;-1.53208888623796;0.984807753012208;-0.17364817766693;2;0;75.6
"19950501";101.4;9.3;15.2;18.5;20.2;18.6;6;6;6;5;6;2.95442325903662;-0.520944533000791;2.57115043874616;-3.06417777247591;4.92403876506104;-0.868240888334652;3.75877048314363;-1.36808057330267;1.96961550602442;-0.347296355333861;80.2
"19950502";113;8.1;17.1;22.6;23.9;22.5;2;3;5;6;6;-0.866025403784439;0.5;1.53208888623796;1.28557521937308;4;0;3.93923101204883;0.694592710667721;4;0;101.4
"19950503";115.6;9.4;19.5;24.6;25.4;24.1;1;1;1;0;0;-0.5;0.866025403784438;2.95442325903662;0.520944533000791;3.46410161513775;-2;3.06417777247591;-2.57115043874616;2.81907786235773;-1.02606042997701;113
"19950504";117.8;10.2;20.6;26.6;27.7;26.1;0;0;1;1;2;0;0;2;0;1.02606042997701;-2.81907786235772;-1.02606042997701;-2.81907786235773;0.347296355333861;-1.96961550602442;115.6
"19950505";127.8;12.6;22.3;28.1;28.9;27.2;0;0;1;1;1;0;0;0.684040286651338;-1.87938524157182;3.06417777247591;-2.57115043874616;1.28557521937308;-1.53208888623796;2.95442325903662;0.520944533000791;117.8
"19950506";144.6;14.5;23.2;27.9;28.6;25.4;3;1;3;1;4;0;0;1.28557521937308;-1.53208888623796;3.46410161513775;-2;1.28557521937308;-1.53208888623796;1.02606042997701;2.81907786235772;127.8
"19950507";157;13.3;22;26.7;27.8;24.7;4;1;1;1;4;0.17364817766693;0.984807753012208;1.92836282905962;-2.29813332935693;1.5;-2.59807621135332;-1.96961550602442;-0.347296355333861;-2.29813332935693;-1.92836282905962;144.6
"19950508";90.8;12.1;15.8;18.3;18;15.5;8;6;3;1;4;-0.694592710667721;3.93923101204883;0.694592710667722;3.93923101204883;-1.04188906600158;5.90884651807325;-9.18485099360515e-16;5;-1.04188906600158;5.90884651807325;157
"19950509";74.4;9.5;13.3;15.8;16.8;13.4;1;4;2;4;7;0.520944533000791;2.95442325903662;-0.694592710667721;3.93923101204883;-1.36808057330268;3.75877048314363;-2.5;4.33012701892219;0.868240888334652;4.92403876506104;90.8
"19950510";85.8;10;14;17.2;18.1;15.5;5;4;6;2;7;1.5;2.59807621135332;1;1.73205080756888;1.28557521937308;1.53208888623796;-7.34788079488412e-16;4;2.5;4.33012701892219;74.4
"19950511";58.2;10.4;11.2;13.1;13.5;11.2;8;8;8;8;8;3.93923101204883;0.694592710667721;4;0;5;0;4.69846310392954;1.71010071662834;2;3.46410161513775;85.8
"19950512";64.4;8;8.7;9.3;8;7.1;8;8;8;8;8;3.5;6.06217782649107;2.39414100327968;6.57784834550136;1.38918542133544;7.87846202409766;-1.83697019872103e-15;10;-1.21553724366851;6.89365427108546;58.2
"19950513";74;5;9.6;11.6;11.1;10.1;8;3;5;3;1;-2.29813332935693;1.92836282905962;-1.28587913910472e-15;7;1.38918542133544;7.87846202409766;-1.21553724366851;6.89365427108546;-2.05212085995402;5.63815572471545;64.4
"19950514";85.6;2.4;11.2;14.1;15;13.5;1;3;3;4;5;0;0;0.684040286651338;-1.87938524157182;-1;-1.73205080756888;1.53208888623796;-1.28557521937308;1.96961550602442;-0.347296355333861;74
"19950515";77.2;6.2;12.2;14.8;15.4;14.6;7;6;7;7;7;1.96961550602442;-0.347296355333861;3.06417777247591;-2.57115043874616;4.92403876506104;-0.868240888334652;3.06417777247591;-2.57115043874616;0.520944533000791;-2.95442325903662;85.6
"19950516";42.8;9.1;10.5;12.1;14.3;15.3;8;8;8;7;6;2.57115043874616;-3.06417777247591;3.2139380484327;-3.83022221559489;3.2139380484327;-3.83022221559489;-0.342020143325669;-0.939692620785908;-1.96961550602442;-0.347296355333861;77.2
"19950517";75;12.4;13.4;15.3;15.1;13.6;7;7;6;6;8;-5.63815572471545;-2.05212085995401;-8;-9.79717439317883e-16;-9;-1.10218211923262e-15;-6.57784834550136;2.39414100327968;-3.75877048314363;1.36808057330267;42.8
"19950518";80;8;10.7;13.4;13.6;11.9;7;7;6;2;1;0.347296355333861;1.96961550602442;1.36808057330268;3.75877048314363;-1.04188906600158;5.90884651807325;-3.5;6.06217782649107;-2.05212085995402;5.63815572471545;75
"19950519";70.4;5.3;11.6;13.9;14.2;13.8;1;3;4;7;4;-1.87938524157182;0.684040286651337;-2.81907786235773;1.02606042997701;-0.347296355333861;1.96961550602442;-1.5;2.59807621135332;-1.36808057330268;3.75877048314363;80
"19950520";69;6.2;11.7;13.4;14.5;12.9;2;7;7;7;5;0;0;-2.29813332935693;1.92836282905962;-4.49951326780578;5.36231110183285;-0.868240888334652;4.92403876506104;-7.34788079488412e-16;4;70.4
"19950521";83.4;5.4;13.6;16.8;17.8;16.9;1;4;3;7;7;0;0;3.46410161513775;-2;3.75877048314363;-1.36808057330267;2.95442325903662;-0.520944533000791;3.46410161513775;-2;69
"19950522";94.2;9.6;16.5;20;20.9;19.9;7;6;6;6;7;1.96961550602442;-0.347296355333861;3.75877048314363;-1.36808057330267;4.69846310392954;-1.71010071662834;5.90884651807325;-1.04188906600158;4.33012701892219;-2.5;83.4
"19950523";91.8;12.3;18.3;23;24.7;22.2;4;4;3;2;5;2;0;1.28557521937308;-1.53208888623796;2;-3.46410161513775;-3;-5.19615242270663;-2.05212085995401;-5.63815572471545;94.2
"19950524";62;14.2;14.1;16;17.4;17;8;8;8;7;3;2.44929359829471e-16;-4;1.02606042997701;-2.81907786235772;-4;-6.92820323027551;-4.59626665871387;-3.85672565811924;-3.83022221559489;-3.2139380484327;91.8
"19950525";59.8;10.9;15.6;19.7;20.1;17;2;6;5;4;3;0.642787609686539;-0.766044443118978;-2;-3.46410161513775;-4.59626665871387;-3.85672565811924;-3.85672565811924;-4.59626665871387;-3.46410161513775;-2;62
"19950526";62.4;10.9;16.4;18.6;19.6;17.5;6;6;7;7;7;0.642787609686539;-0.766044443118978;3.67394039744206e-16;-6;-2.5;-4.33012701892219;-3.85672565811924;-4.59626665871387;-2.5;-4.33012701892219;59.8
"19950527";60.2;13.9;17;21.6;21.7;19.6;5;7;5;4;6;-0.520944533000791;-2.95442325903662;-2.5;-4.33012701892219;-3.5;-6.06217782649107;-5.36231110183285;-4.49951326780578;-5.36231110183285;-4.49951326780578;62.4
"19950528";64.2;15.7;19.8;21.4;21.7;19.2;6;6;7;6;3;0.694592710667722;-3.93923101204883;-2.05212085995401;-5.63815572471545;-3.85672565811924;-4.59626665871387;-5.19615242270663;-3;-5.90884651807325;-1.04188906600158;60.2
"19950529";68.8;12.1;14.9;17.1;19;17;2;8;6;5;5;-1.53208888623796;-1.28557521937308;-2.59807621135332;-1.5;-3.06417777247591;-2.57115043874616;-6.06217782649107;-3.5;-4.33012701892219;2.5;64.2
"19950530";64.6;10.4;14.9;14.4;16;14.9;6;7;6;7;6;-1.96961550602442;0.347296355333861;-2.59807621135332;1.5;-1.92836282905962;2.29813332935693;-1.04188906600158;5.90884651807325;-1.04188906600158;5.90884651807325;68.8
"19950531";76.8;10.7;14.3;16.3;18;16.4;7;7;7;5;1;-1.73205080756888;1;-1.71010071662835;4.69846310392954;-1.71010071662835;4.69846310392954;-2.05212085995402;5.63815572471545;-1.04188906600158;5.90884651807325;64.6
"19950601";66;9;14;16.7;16;14.8;7;7;7;8;7;-0.642787609686539;0.766044443118978;-0.984807753012208;0.17364817766693;-2.95442325903662;-0.520944533000792;-1.87938524157182;0.684040286651337;-1.92836282905962;-2.29813332935693;76.8
"19950602";62.6;11.9;15.1;17.7;16.7;16.2;8;6;6;8;7;0.342020143325669;0.939692620785908;1;1.73205080756888;-1.92836282905962;2.29813332935693;-1.71010071662835;4.69846310392954;-1.36808057330268;3.75877048314363;66
"19950603";46.2;11.7;14;14.9;16.9;16.9;8;8;8;7;8;-0.984807753012208;-0.173648177666931;-3.46410161513775;-2;-3.06417777247591;-2.57115043874616;-5.63815572471545;-2.05212085995401;-3.75877048314363;-1.36808057330268;62.6
"19950604";69.4;11.6;16;17.6;16.6;15.7;7;7;6;6;2;-1.5;-2.59807621135332;-3.93923101204883;-0.694592710667723;-5.19615242270663;3;-0.868240888334652;4.92403876506104;-1.10218211923262e-15;6;46.2
"19950605";72.2;8.6;13.9;16.3;16.6;16.3;3;6;6;6;2;-1.87938524157182;0.684040286651337;-7.34788079488412e-16;4;-0.694592710667721;3.93923101204883;0.694592710667722;3.93923101204883;0.868240888334652;4.92403876506104;69.4
"19950606";78.2;8.7;15.7;19.5;20.2;17.8;3;4;4;4;2;0;0;1.28557521937308;1.53208888623796;-0.766044443118978;0.642787609686539;-1.5;2.59807621135332;-0.868240888334652;4.92403876506104;72.2
"19950607";45.2;11;15.9;17.6;19.5;17.6;8;7;7;7;7;-0.866025403784439;-0.5;-0.984807753012208;-0.173648177666931;-1.02606042997701;2.81907786235772;-1.28557521937308;1.53208888623796;0.868240888334652;4.92403876506104;78.2
"19950608";77.2;11.5;15;16.7;17.3;16;1;5;3;2;2;-2.59807621135332;1.5;3.5;6.06217782649107;-1.38918542133544;7.87846202409766;1.04188906600158;5.90884651807325;1.21553724366851;6.89365427108546;45.2
"19950609";74;8.6;15.3;16.5;18.2;16;1;5;7;6;1;-1.53208888623796;1.28557521937308;1.36808057330268;3.75877048314363;2;3.46410161513775;-2;3.46410161513775;0.868240888334652;4.92403876506104;77.2
"19950610";63.8;7.8;14.2;16.1;15.9;14.4;2;8;8;8;7;-1.96961550602442;0.347296355333861;-2;3.46410161513775;-1.92836282905962;2.29813332935693;-1.71010071662835;4.69846310392954;-1.71010071662835;4.69846310392954;74
"19950611";45.8;11.8;13.2;16;16.5;15.3;8;8;7;7;7;-2.95442325903662;0.520944533000791;-2.81907786235773;1.02606042997701;-2;3.46410161513775;0.868240888334652;4.92403876506104;1.04188906600158;5.90884651807325;63.8
"19950612";64.6;11.9;13.6;15.2;16.5;14.9;2;8;6;6;7;-3.67394039744206e-16;2;2.57115043874616;3.06417777247591;2.5;4.33012701892219;2.05212085995401;5.63815572471545;-9.18485099360515e-16;5;45.8
"19950613";60;10.8;13.4;14.8;14.4;14.4;5;7;7;6;4;0.347296355333861;1.96961550602442;3.2139380484327;3.83022221559489;0.868240888334652;4.92403876506104;1.71010071662834;4.69846310392954;0.868240888334652;4.92403876506104;64.6
"19950614";81;7.7;14.2;16.7;16.6;16.7;0;5;7;7;3;-0.939692620785908;0.342020143325669;0.694592710667722;3.93923101204883;0.868240888334652;4.92403876506104;2.05212085995401;5.63815572471545;-7.34788079488412e-16;4;60
"19950615";65.6;9.9;16;18.5;20.6;19.8;7;6;4;2;1;-1.73205080756888;1;-1.36808057330268;3.75877048314363;1.04188906600158;5.90884651807325;-0.694592710667721;3.93923101204883;-0.694592710667721;3.93923101204883;81
"19950616";54.6;10.4;14.5;21.4;24.7;21.2;8;2;1;1;4;-1.87938524157182;0.684040286651337;-1.73205080756888;-1;-1.53208888623796;-1.28557521937308;-4.92403876506104;-0.868240888334654;1.36808057330268;3.75877048314363;65.6
"19950617";49.6;12.9;15.7;17;14.6;14.2;7;8;8;8;8;-2.29813332935693;-1.92836282905962;-5.19615242270663;-3;-4.59626665871387;-3.85672565811924;-3.06417777247591;-2.57115043874616;-4.59626665871387;-3.85672565811924;54.6
"19950618";33.2;15.8;16.9;17.1;16.9;17.6;7;8;8;7;6;-1.73205080756888;-1;-4;-4.89858719658941e-16;0.347296355333861;1.96961550602442;0.868240888334652;4.92403876506104;0.694592710667722;3.93923101204883;49.6
"19950619";66.6;14.4;18.3;21.6;24.2;23.8;7;6;3;6;7;1.96961550602442;0.347296355333861;-2.29813332935693;-1.92836282905962;-1.5;-2.59807621135332;0.684040286651338;-1.87938524157182;-1.53208888623796;-1.28557521937308;33.2
"19950620";60.8;15.1;20.3;22.3;25.3;21.5;7;7;8;7;7;-1.87938524157182;0.684040286651337;-0.5;0.866025403784438;-1;1.73205080756888;0.347296355333861;1.96961550602442;0.868240888334652;4.92403876506104;66.6
"19950621";56.4;15.3;18.6;23;24.4;22.8;8;3;1;1;1;0.520944533000791;2.95442325903662;2;3.46410161513775;2;3.46410161513775;0.868240888334652;4.92403876506104;1.04188906600158;5.90884651807325;60.8
"19950622";78;14.6;18.5;21.6;22.4;21.3;1;1;1;1;3;3.06417777247591;2.57115043874616;6.06217782649107;3.5;6.06217782649107;3.5;6.06217782649107;3.5;5.19615242270663;3;56.4
"19950623";77.4;13.2;16;17.9;19.4;19.5;1;3;5;3;1;3.2139380484327;3.83022221559489;5.36231110183285;4.49951326780577;6.12835554495182;5.14230087749231;6.8943999880708;5.78508848717885;4.49951326780578;5.36231110183285;78
"19950624";70.8;12.7;14.9;20;21.2;18.2;6;6;1;2;1;1.36808057330268;3.75877048314363;2.05212085995401;5.63815572471545;3;5.19615242270663;1.21553724366851;6.89365427108546;4.49951326780578;5.36231110183285;77.4
"19950625";93.6;12.6;18.3;22.5;24.8;24.5;5;1;4;2;1;-1.83697019872103e-16;1;3.06417777247591;2.57115043874616;4.92403876506104;0.868240888334652;5.19615242270663;3;5.90884651807325;1.04188906600158;70.8
"19950626";102.2;17.9;24.3;28.8;29.7;26.7;0;1;1;2;1;3.06417777247591;2.57115043874616;4.69846310392954;1.71010071662834;6.89365427108546;1.21553724366851;6.57784834550136;2.39414100327968;3.5;6.06217782649107;93.6
"19950627";114;19;25.3;29.1;28.7;25.3;0;0;1;2;1;3.2139380484327;3.83022221559489;5.19615242270663;3;6.57784834550136;2.39414100327968;5.36231110183285;4.49951326780577;5.78508848717885;6.8943999880708;102.2
"19950628";121.6;17.1;23.6;30.5;30.9;31.2;0;6;2;3;1;-0.520944533000791;2.95442325903662;1.5;2.59807621135332;5.63815572471545;2.05212085995401;4;0;5.90884651807325;-1.04188906600158;114
"19950629";136.8;21.5;28.6;32.2;33.2;31.5;0;0;1;1;0;0.939692620785908;0.342020143325669;4;0;5.90884651807325;-1.04188906600158;4.92403876506104;-0.868240888334652;3.46410161513775;-2;121.6
"19950630";137.4;19.1;27.4;32;33.5;30.6;0;0;1;1;4;0.984807753012208;-0.17364817766693;0.766044443118978;-0.642787609686539;1.5;-2.59807621135332;-2.81907786235772;-1.02606042997701;-3.93923101204883;-0.694592710667723;136.8
"19950701";136.6;18.3;22.9;30.3;21.8;20.1;6;6;6;8;8;-0.866025403784439;0.5;-1.73205080756888;-1;-1.96961550602442;-0.347296355333861;4.28626379701574e-16;-7;1;1.73205080756888;137.4
"19950702";86;17.2;19.3;22.7;24.3;20.3;8;7;6;6;7;0;0;-3.46410161513775;-2;-2.81907786235772;-1.02606042997701;-5.36231110183285;-4.49951326780578;-3.75877048314363;-1.36808057330268;136.6
"19950703";84.4;15.1;17.4;19.2;19.3;19.5;8;7;7;7;2;-2.59807621135332;1.5;-2.5;4.33012701892219;-1.36808057330268;3.75877048314363;-0.868240888334652;4.92403876506104;1.71010071662834;4.69846310392954;86
"19950704";77.6;12.8;17.6;20.7;20.9;19.1;0;6;7;6;0;-0.766044443118978;0.642787609686539;-0.866025403784439;0.5;-1.02606042997701;2.81907786235772;-0.868240888334652;4.92403876506104;-9.18485099360515e-16;5;84.4
"19950705";51;12.3;18.5;19.2;20.3;20.4;1;6;8;8;7;-1.73205080756888;1;-0.684040286651339;1.87938524157182;-0.684040286651339;1.87938524157182;-0.520944533000791;2.95442325903662;1.02606042997701;2.81907786235772;77.6
"19950706";50.8;14.8;18.3;20.4;20.8;20.8;7;7;7;6;7;-0.684040286651339;1.87938524157182;0.684040286651338;1.87938524157182;-1.5;2.59807621135332;-5.51091059616309e-16;3;-5.51091059616309e-16;3;51
"19950707";75.8;13.7;20.2;24.3;26.4;24.5;5;2;5;3;2;-0.347296355333861;1.96961550602442;6.12323399573677e-17;-1;0.520944533000791;2.95442325903662;2.29813332935693;1.92836282905962;-9.18485099360515e-16;5;50.8
"19950708";134;15.9;23.9;28.4;29.7;28.3;3;3;6;1;3;0.347296355333861;1.96961550602442;0.766044443118978;0.642787609686539;4.33012701892219;2.5;2.81907786235773;1.02606042997701;1.71010071662834;4.69846310392954;75.8
"19950709";129.6;18.3;26.5;32.7;33.5;32.5;0;1;3;3;2;-0.642787609686539;0.766044443118978;2;0;1.5;-2.59807621135332;2.59807621135332;-1.5;3;0;134
"19950710";98.8;21.2;24.8;25.2;27.6;23.1;7;4;7;5;7;-0.347296355333861;1.96961550602442;-1.53208888623796;-1.28557521937308;-1.92836282905962;2.29813332935693;-3;-3.67394039744206e-16;-2.05212085995402;5.63815572471545;129.6
"19950711";66.8;17.7;17.7;21.3;25.1;23.4;8;8;7;4;2;-1.53208888623796;1.28557521937308;-1.87938524157182;0.684040286651337;-2.95442325903662;-0.520944533000792;-4.69846310392954;-1.71010071662834;-4.59626665871387;-3.85672565811924;98.8
"19950712";71.4;18.1;21.4;24.6;25.7;25.2;4;2;7;7;7;-2.29813332935693;-1.92836282905962;-1.53208888623796;-1.28557521937308;0.520944533000791;-2.95442325903662;0.520944533000791;-2.95442325903662;1.87938524157182;-0.684040286651337;66.8
"19950713";69.8;16.9;18.6;22.3;25.2;23.3;7;7;7;7;7;-0.984807753012208;0.17364817766693;1.92836282905962;-2.29813332935693;-0.342020143325669;-0.939692620785908;0.642787609686539;-0.766044443118978;-3.75877048314363;1.36808057330267;71.4
"19950714";59.6;16.9;19.9;23.2;19.1;20.6;5;7;6;8;6;-1.36808057330267;-3.75877048314363;-2.57115043874616;-3.06417777247591;-6.06217782649107;-3.5;-4.33012701892219;-2.5;-4.49951326780578;-5.36231110183285;69.8
"19950715";79.2;17;19.9;22.6;24.3;22.8;8;7;5;5;3;-1.73205080756888;-1;-3.93923101204883;-0.694592710667723;-4.92403876506104;-0.868240888334654;-5.19615242270663;-3;-5.63815572471545;-2.05212085995401;59.6
"19950716";63.6;15.4;19;22.4;21.5;21.4;5;7;6;7;7;-1.28557521937308;-1.53208888623796;-3.93923101204883;0.694592710667722;-4.69846310392954;-1.71010071662834;-5.90884651807325;-1.04188906600158;-4.69846310392954;-1.71010071662834;79.2
"19950717";53.6;17.2;18;22.3;24.8;23.1;8;8;7;7;7;-0.347296355333861;-1.96961550602442;-2;-3.46410161513775;-3.5;-6.06217782649107;-5.63815572471545;-2.05212085995401;-3.46410161513775;-2;63.6
"19950718";69.6;15;21;24.9;27;26.9;6;5;6;5;3;-1.53208888623796;-1.28557521937308;-3.06417777247591;-2.57115043874616;-3.93923101204883;-0.694592710667723;-1.87938524157182;0.684040286651337;-1.96961550602442;-0.347296355333861;53.6
"19950719";104.2;18;20.2;27.2;30.6;30.3;8;7;3;3;3;2.81907786235773;1.02606042997701;1.96961550602442;-0.347296355333861;1.22464679914735e-16;-2;1;0;3;0;69.6
"19950720";123.4;19.2;27.6;33.1;34.9;34.1;0;1;1;3;3;-0.5;0.866025403784438;1;0;1.87938524157182;-0.684040286651337;2.81907786235773;1.02606042997701;2.81907786235773;1.02606042997701;104.2
"19950721";80.6;18.8;23.2;24.3;25.7;21.9;6;0;0;0;1;-2;3.46410161513775;-1.71010071662835;4.69846310392954;-1.71010071662835;4.69846310392954;-2.05212085995402;5.63815572471545;-1.28587913910472e-15;7;123.4
"19950722";70.6;16.3;19.6;21.4;21.7;19.3;6;2;1;1;0;-1.71010071662835;4.69846310392954;-1.65327317884893e-15;9;2.73616114660535;7.51754096628727;-2.73616114660536;7.51754096628727;-2.05212085995402;5.63815572471545;80.6
"19950723";105.6;11.3;20;23.4;25.8;24.2;0;0;0;0;1;-0.939692620785908;0.342020143325669;2.57115043874616;-3.06417777247591;1.96961550602442;-0.347296355333861;3.06417777247591;2.57115043874616;1.36808057330268;3.75877048314363;70.6
"19950724";117.2;13.9;22.9;28.1;30.1;29.2;1;1;0;0;0;0.5;0.866025403784439;2.95442325903662;0.520944533000791;3.93923101204883;0.694592710667721;4.92403876506104;0.868240888334652;4.92403876506104;0.868240888334652;105.6
"19950725";128;18.4;26.1;31;32.6;31.7;1;4;3;5;7;3;0;5.63815572471545;-2.05212085995401;6.89365427108546;-1.21553724366851;9;0;3.75877048314363;-1.36808057330267;117.2
"19950726";96.4;19.3;23.7;24.6;24.1;21.6;7;5;6;7;6;-2.57115043874616;-3.06417777247591;-5.14230087749231;-6.12835554495182;-5.14230087749231;-6.12835554495182;-4.5;-7.79422863405995;-3.07818128993102;-8.45723358707318;128
"19950727";48;17.1;17.8;21.3;22.4;21;8;8;7;6;7;-5.36231110183285;-4.49951326780578;-4.33012701892219;-2.5;-5.19615242270663;-3;-5.36231110183285;-4.49951326780578;-3.2139380484327;-3.83022221559489;96.4
